communication_score,technical_score,motivation_score,notes_score,video_score,overall_score
4,5,3,0.82,0.71,4
5,4,5,0.95,0.68,5
3,4,4,0.63,0.55,4
4,3,2,0.72,0.61,3
5,5,4,0.88,0.92,5
2,3,3,0.55,0.42,3
4,4,4,0.78,0.65,4
3,2,3,0.61,0.53,3
5,4,5,0.91,0.87,5
4,3,4,0.69,0.58,4
3,4,2,0.64,0.49,3
5,5,5,0.97,0.94,5
2,2,1,0.31,0.25,2
4,4,3,0.76,0.63,4
3,3,3,0.58,0.51,3
5,4,4,0.85,0.79,5
4,5,5,0.89,0.83,5
3,2,2,0.47,0.39,2
4,3,4,0.73,0.66,4
5,5,4,0.92,0.88,5
2,3,2,0.52,0.45,2
4,4,4,0.81,0.72,4
3,3,3,0.59,0.54,3
5,4,5,0.93,0.85,5
4,5,4,0.84,0.77,5
1,2,1,0.22,0.18,1
3,4,3,0.67,0.57,3
4,3,2,0.71,0.62,3
5,5,5,0.96,0.91,5
4,4,4,0.79,0.69,4
2,3,3,0.56,0.48,3
3,3,2,0.62,0.52,3
5,4,4,0.86,0.81,5
4,5,5,0.94,0.89,5
3,2,1,0.43,0.36,2
4,4,3,0.77,0.64,4
5,5,4,0.98,0.93,5
2,1,2,0.38,0.32,2
3,4,3,0.65,0.56,3
4,3,4,0.74,0.67,4
5,5,5,0.99,0.95,5
1,1,1,0.15,0.12,1
4,4,4,0.83,0.75,4
3,3,3,0.57,0.5,3
5,4,5,0.9,0.84,5
4,5,4,0.87,0.82,5
2,2,2,0.41,0.35,2
3,4,2,0.66,0.59,3
4,3,3,0.75,0.7,4
5,5,4,0.94,0.9,5
3,2,3,0.53,0.46,3
4,4,4,0.8,0.73,4
5,4,5,0.89,0.86,5
2,3,1,0.49,0.44,2
3,3,2,0.6,0.52,3
4,5,4,0.91,0.88,5
5,4,3,0.82,0.76,4
1,2,2,0.27,0.23,2
3,4,4,0.68,0.6,4
4,3,3,0.72,0.65,4
5,5,5,0.97,0.92,5
2,1,1,0.33,0.28,1
3,3,3,0.54,0.47,3
4,4,2,0.78,0.71,4
5,5,4,0.93,0.89,5
3,2,2,0.45,0.38,2
4,3,4,0.76,0.69,4
5,4,5,0.88,0.83,5
2,3,3,0.51,0.43,3
3,4,3,0.63,0.54,3
4,5,4,0.85,0.8,5
5,4,4,0.92,0.87,5
1,1,2,0.19,0.16,1
3,3,1,0.5,0.41,2
